Name, Email
Advertising Society, adsocual@gmail.com
African Caribbean Society, ualacs@email.com
Amnesty International, amnestyual@gmail.com
Animanga Society, ualanimemangasociety@gmail.com
Architecture Society, architecturesocietycsm@gmail.com
Believers Love World, blwual2020@gmail.com
Book Club, bookclubual@gmail.com
Ceramics Society, ualceramicssociety@gmail.com
Chess Club, societies@su.arts.ac.uk
Chinese Society, ualchinesesociety2015@hotmail.com
Christian Union, christianunion.ual@gmail.com
Computer Science Society, ualcss@gmail.com
Costume Archive Society, wcaarchivesociety@gmail.com
Cultural Union Of Liberation And Thriving (Cult), the.cult.ual@gmail.com
Curation Society, thecurationsociety@gmail.com
Decolonising Fashion, m.uuganbayar0720211@arts.ac.uk
Drama Society, dramasocietyual@gmail.com
Efc Society, efcsocietyual@gmail.com
Fashion And Tech, fashion.tech.ual@gmail.com
Fashion Business Society, s.scanlan0220191@arts.ac.uk
Filipino Society, ualfilsoc@gmail.com
Film Files, ual.filmfiles21@gmail.com
Film Making Society, filmmakingsociety.arts@gmail.com
Food Society, ualfoodsoc@gmail.com
French And Friends, frenchsociety.ual@gmail.com
Future Marketers Society, ual.futuremarketerssociety@gmail.com
Game Concept Society, gamesconceptsocietyual@gmail.com
Girl Talk, societies@su.arts.ac.uk
Google Development Society, ualgdsc@gmail.com
Green Roof Society, ualgreenroof@gmail.com
Hong Kong Society, ualhks1819@gmail.com
Illustration Society, ual.illustration@gmail.com
Indian Society, ualindiansociety@gmail.com
Indonesian Society, ualindosoc@gmail.com
Islamic Society, Ualislamicsociety2021@gmail.com
Italian Society, ualitaliansociety@gmail.com
Keeping It Reel, keepingitreelual@gmail.com
Latinxs Collective, latinx.ual@gmail.com
Lgbtq+ Society, uallgbtsociety@gmail.com
Life Drawing Society, ual.lifedrawingsociety@gmail.com
Marxists Society, ualmarxistsociety@gmail.com
Mature Students Society, MatureStudentsUAL@outlook.com
Middle Eastern-North African Society, ualmenasociety@gmail.com
Music Society, ualmusicsociety2022@gmail.com
Persian Arts Society, persianartsual@outlook.com
Philosophy Society, ualphilosophysociety@gmail.com
Poc Lgbtq+ Society, ual.poc.lgbtq@gmail.com
Poetry Society, ualpoetry@gmail.com
Psychedelic Society, ualpsychedelicsociety@gmail.com
Psychology Of Fashion, Pof.society@gmail.com
Rpg Society, ualrpgsociety@gmail.com
Rupture Radio, ual.ruptureradio@outlook.com
Showcase Selects, showcaseselects@gmail.com
Singsoc, ualsingsoc@gmail.com
Social Video Gamers, ualvideogamesociety@gmail.com
Sustainable Business Society, sustainablebusinesssociety.ual@gmail.com
Taylor Swift Society, ualtaylorswiftsociety@gmail.com
Thai Society, ualthaisociety@gmail.com
Turkish Society, ualturkishsociety@gmail.com
Ual For All, ualforall.society@gmail.com
Ugraph (Photography) Society, ugraphsociety@gmail.com
Ukrainian Society, ual.ukr@gmail.com
Vietnamese Society, ualvietsoc@gmail.com
Visual Society, vis.ualsocietycontact@gmail.com
Vr Club, vrclubual@gmail.com
Women In Digital Art, ualwomenindigitalart@gmail.com
Women In Media, ualwomeninmedia@gmail.com
